,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire Alarm
0,1654733331,20.0,57.36,0,400,12306,18520,939.735,0.0,0.0,0.0,0.0,0.0,0,0
1,1654733332,20.015,56.67,0,400,12345,18651,939.744,0.0,0.0,0.0,0.0,0.0,1,0
2,1654733333,20.029,55.96,0,400,12374,18764,939.738,0.0,0.0,0.0,0.0,0.0,2,0
3,1654733334,20.044,55.28,0,400,12390,18849,939.736,0.0,0.0,0.0,0.0,0.0,3,0
4,1654733335,20.059,54.69,0,400,12403,18921,939.744,0.0,0.0,0.0,0.0,0.0,4,0
5,1654733336,20.073,54.12,0,400,12419,18998,939.725,0.0,0.0,0.0,0.0,0.0,5,0
6,1654733337,20.088,53.61,0,400,12432,19058,939.738,0.0,0.0,0.0,0.0,0.0,6,0
7,1654733338,20.103,53.2,0,400,12439,19114,939.758,0.0,0.0,0.0,0.0,0.0,7,0
8,1654733339,20.117,52.81,0,400,12448,19155,939.758,0.0,0.0,0.0,0.0,0.0,8,0
9,1654733340,20.132,52.46,0,400,12453,19195,939.756,0.9,3.78,0.0,4.369,2.78,9,0
10,1654733341,20.146,52.15,0,400,12454,19230,939.757,0.89,3.71,0.0,4.289,2.73,10,0
11,1654733342,20.161,51.84,0,400,12467,19264,939.754,0.84,3.51,0.0,4.053,2.58,11,0
12,1654733343,20.175,51.62,0,400,12467,19299,939.755,0.81,3.38,0.0,3.909,2.488,12,0
13,1654733344,20.19,51.39,0,400,12469,19317,939.758,0.74,3.11,0.0,3.588,2.284,13,0
14,1654733345,20.204,51.17,0,403,12468,19338,939.742,0.71,2.96,0.0,3.419,2.176,14,0
15,1654733346,20.219,50.99,0,400,12475,19362,939.741,0.64,2.66,0.0,3.077,1.959,15,0
16,1654733347,20.233,50.86,0,400,12480,19382,939.758,0.6,2.52,0.0,2.908,1.851,16,0
17,1654733348,20.248,50.66,0,400,12477,19400,939.764,0.53,2.23,0.0,2.58,1.642,17,0
18,1654733349,20.262,50.49,0,400,12481,19422,939.761,0.5,2.1,0.0,2.423,1.542,18,0
19,1654733350,20.277,50.27,0,406,12489,19451,939.752,0.41,1.72,0.0,1.987,1.265,19,0
20,1654733351,20.291,50.15,0,400,12491,19456,939.729,0.38,1.6,0.0,1.855,1.18,20,0
21,1654733352,20.305,50.02,0,400,12487,19470,939.741,0.33,1.39,0.0,1.61,1.024,21,0
22,1654733353,20.32,49.96,0,400,12492,19489,939.756,0.31,1.3,0.0,1.497,0.953,22,0
23,1654733354,20.334,49.83,0,415,12495,19489,939.764,0.27,1.12,0.0,1.291,0.821,23,0
24,1654733355,20.348,49.76,0,400,12498,19503,939.77,0.25,1.04,0.0,1.197,0.762,24,0
25,1654733356,20.363,49.65,0,401,12499,19516,939.774,0.21,0.89,0.0,1.026,0.653,25,0
26,1654733357,20.377,49.58,0,404,12503,19525,939.771,0.2,0.82,0.0,0.949,0.604,26,0
27,1654733358,20.391,49.37,30,445,12478,19500,939.771,0.17,0.58,0.14,0.665,0.398,27,0
28,1654733359,20.406,49.58,36,455,12472,19487,939.77,0.16,0.56,0.13,0.644,0.385,28,0
29,1654733360,20.42,50.11,20,443,12471,19493,939.775,0.15,0.52,0.12,0.595,0.356,29,0
30,1654733361,20.434,50.68,16,435,12481,19509,939.772,0.14,0.5,0.12,0.569,0.34,30,0
31,1654733362,20.448,51.23,8,440,12482,19520,939.772,0.13,0.45,0.11,0.514,0.308,31,0
32,1654733363,20.462,51.77,11,440,12479,19515,939.762,0.12,0.42,0.1,0.487,0.291,32,0
33,1654733364,20.477,52.28,0,420,12486,19532,939.769,0.11,0.38,0.09,0.434,0.259,33,0
34,1654733365,20.491,52.74,0,414,12489,19535,939.747,0.1,0.36,0.08,0.408,0.244,34,0
35,1654733366,20.505,53.12,3,413,12490,19541,939.754,0.09,0.31,0.07,0.359,0.215,35,0
36,1654733367,20.519,53.5,0,410,12491,19541,939.755,0.08,0.29,0.07,0.336,0.201,36,0
37,1654733368,20.533,53.84,0,413,12498,19552,939.747,0.07,0.26,0.06,0.293,0.175,37,0
38,1654733369,20.547,54.13,0,400,12498,19569,939.757,0.07,0.24,0.06,0.273,0.163,38,0
39,1654733370,20.561,54.41,6,415,12491,19559,939.761,0.06,0.21,0.05,0.236,0.141,39,0
40,1654733371,20.575,54.67,7,406,12498,19553,939.766,0.06,0.19,0.05,0.219,0.131,40,0
41,1654733372,20.589,54.91,0,400,12503,19578,939.765,0.05,0.18,0.04,0.204,0.122,41,0
42,1654733373,20.603,55.08,0,410,12497,19565,939.761,0.04,0.15,0.04,0.175,0.105,42,0
43,1654733374,20.617,55.28,0,400,12505,19565,939.757,0.04,0.14,0.03,0.162,0.097,43,0
44,1654733375,20.631,55.49,0,400,12508,19581,939.762,0.03,0.12,0.03,0.138,0.083,44,0
45,1654733376,20.645,55.86,8,404,12501,19574,939.754,0.03,0.09,0.02,0.1,0.06,45,0
